,MEI,CO2,CH4,N2O,CFC-11,CFC-12,Aerosols,Temp
35,0.33,377.87,1798.45,318.188,2.716812812288019e+22,8.894643426157511e+20,0.0024,0.43129668
36,-0.621,384.13,1812.37,322.013,1.7835025530624185e+22,7.884329172668699e+20,0.0048,0.39470664
37,1.741,344.15,1633.22,303.795,1.787683698749484e+21,2.8949561724671037e+19,0.0731,0.1406067
38,3.001,362.2,1750.23,312.702,4.316267631667224e+22,7.698890430793202e+20,0.0051,0.44205132
39,0.799,379.76,1796.63,318.864,2.4647098685197033e+22,8.762283798543721e+20,0.0031,0.38985118
40,1.835,346.52,1681.62,306.178,1.3356117744985297e+22,1.3492875235816794e+20,0.0104,0.16685568
41,0.026,378.18,1791.12,317.558,2.8460928367878012e+22,8.780513081803894e+20,0.0025,0.40003455
42,-0.276,368.42,1791.44,316.51,3.323576440193436e+22,8.863673663582165e+20,0.0021,0.34350643
43,0.808,370.66,1780.92,317.015,3.073288367924767e+22,8.899748776329791e+20,0.0022,0.41255194
44,0.853,375.5,1775.11,316.849,3.134986991749014e+22,8.926101640872835e+20,0.0019,0.4576705
45,-0.849,364.35,1787.32,313.89,4.154743394143349e+22,8.327924641640077e+20,0.0022,0.5041261
46,2.777,365.98,1766.01,313.512,4.244088531410696e+22,7.961800717263532e+20,0.0037,0.49669567
47,-0.688,384.73,1801.19,319.815,2.238066527377546e+22,8.598306722796843e+20,0.0032,0.39464733
48,0.472,377.61,1775.16,318.131,2.5723177252838823e+22,8.759442501318703e+20,0.0023,0.4415035
49,-1.142,381.14,1802.38,320.855,1.9280974518821157e+22,8.180450579693898e+20,0.0041,0.31974354
50,-0.086,348.4,1659.4,305.027,4.6063548539910787e+21,5.3117786991228e+19,0.0126,0.039273903
51,0.084,354.89,1712.71,308.411,3.48075116895821e+22,3.3882135935849975e+20,0.0073,0.17485136
52,0.157,371.51,1774.19,315.434,3.620611518930345e+22,8.674961637513214e+20,0.0021,0.3647452
53,-0.146,373.37,1797.89,316.128,3.439018762641058e+22,8.768356543974377e+20,0.0021,0.2905015
54,0.309,354.87,1734.82,309.404,4.051777163185843e+22,3.891426369639891e+20,0.006,0.23398654
55,-0.176,343.07,1654.31,304.082,2.1606685284841848e+21,3.495851928794465e+19,0.0486,0.12509747
56,0.927,375.62,1792.28,317.268,2.9413255920129543e+22,8.893727352513563e+20,0.0028,0.43958127
57,-0.607,372.53,1801.51,316.163,3.4830829023942916e+22,8.80136864264104e+20,0.0021,0.34219202
58,-0.667,364.01,1771.02,313.7,4.081856163758055e+22,8.173884723691574e+20,0.0023,0.51499724
59,0.778,375.65,1778.81,316.806,3.1772117456867882e+22,8.896475821093717e+20,0.0019,0.44629446
60,-0.681,370.77,1773.11,314.381,3.9204525232490705e+22,8.38144759073032e+20,0.0021,0.30052936
61,-0.126,368.16,1780.4,316.324,3.3181137988153082e+22,8.795664687384469e+20,0.0021,0.423321
